Species	Common Name	Mean Paternal Age at Conception	Ratio of Paternal to Maternal DNMs	Number of trios
Papio anubis	Baboon	10.271	3.230769	12
Homo sapiens	Human	34.2926	3.866667	10
Homo sapiens (JÃ³nsson et al.)	Human	31.62667	4.047864	225
Pan troglodytes (Besenbacher et al.)	Chimpanzee	19.27286	4.368421	7
Pan troglodytes (Tatsumoto et al.)	Chimpanzee	24	3.081633	1
Gorilla gorilla	Gorilla	13.5	2	2
Pongo abelii	Orangutan	31	4.125	1
Macaca mulatta	Macaque	7.5	1.941176	14
Aotus nancymaae	Owl Monkey	5.551667	2.088235	6
Mus musculus	Mouse	0.4354135	2.763636	40
Bos taurus	Cattle	5	2.528302	13
